timestamp,tcp_cnt,udp_cnt,other_cnt,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes
2019-08-03 00:58:29:696927,4,1,0,5,0,0
2019-08-03 00:58:57:321040,0,4,0,4,0,0
2019-08-03 00:59:39:382353,1,2,0,3,0,0
2019-08-03 01:00:07:112278,8184,2,0,8186,0,0
2019-08-03 01:00:58:089843,0,3,0,3,0,0
2019-08-03 01:01:38:202647,1,1,0,2,0,0
2019-08-03 01:01:43:444549,41148,0,0,41148,0,0
2019-08-03 01:01:48:444554,35569,0,0,35569,0,0
2019-08-03 01:01:53:447331,302,4,0,305,1,0
