timestamp,tcp_ratio,udp_ratio,other_ratio,size_under_50_bytes,size_under_100_bytes,size_under_1200_bytes,size_over_1200_bytes,S0_ratio,RSTO_ratio,OTH_ratio,SHR_ratio,interval_under_50ms_ratio
2019-08-04 00:02:56:304344,0.0,75.0,0.0,50.0,25.0,0.0,0.0,50.0,0.0,25.0,0.0,75.0
2019-08-04 00:03:42:626445,0.0,80.0,20.0,60.0,40.0,0.0,0.0,80.0,0.0,20.0,0.0,100.0
2019-08-04 00:04:26:931203,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
2019-08-04 00:05:39:948591,99.67776584317937,0.322234156820623,0.0,99.78517722878625,0.10741138560687433,0.10741138560687433,0.0,0.322234156820623,0.0,53.383458646616546,37.27175080558539,100.0
